Categorie;Leverancier;Land;Website;Voorbeeldproduct;Inhoud;Indicatieve inkoop excl;Indicatieve salonprijs excl;Marge %;Bol geschikt;Opmerking;Marktbron
Private label;Anhairco;Belgie;https://www.anhairco.be/;Contractproductie eigen label;;;;;ja;"Aartselaar, circa 25 km; prijs op offerte";https://wonnda.com/magazine/european-private-label-cosmetic-manufacturers/
Private label;Carin Cosmetics;Belgie;https://www.carin.be/;Contractproductie eigen label;;;;;ja;"Deerlijk; merk wordt al gevoerd";https://wonnda.com/magazine/european-private-label-cosmetic-manufacturers/
Private label;Delia Cosmetics;Polen;https://delia.pl/;Private label vanaf 1.000 stuks;;;;;ja;EU, geen invoerrechten;https://wonnda.com/magazine/european-private-label-cosmetic-manufacturers/
